poetCh,poetEn,born,death,introduction,img,link
張九齡,ZHANG Jiuling,678,740,"Zhang Jiuling, courtesy name Zishou, nickname Bowu, formally Count Wenxian of Shixing, was a prominent minister, noted poet and scholar of the Tang Dynasty, serving as chancellor during the reign of Emperor Xuanzong.",1,https://en.wikipedia.org/wiki/Zhang_Jiuling
李白,LI Bai,701,762,"Li Bai, also known as Li Bo, courtesy name Taibai, art name Qinglian Jushi, was a Chinese poet acclaimed from his own day to the present as a genius and a romantic figure who took traditional poetic forms to new heights.",1,https://en.wikipedia.org/wiki/Li_Bai
杜甫,DU Fu,712,770,"Du Fu was a Chinese poet and politician of the Tang dynasty. Along with his elder contemporary and friend Li Bai, he is frequently called the greatest of the Chinese poets. His greatest ambition was to serve his country as a successful civil servant, but he proved unable to make the necessary accommodations.",1,https://en.wikipedia.org/wiki/Du_Fu
王維,WANG Wei,699,761,"Wang Wei was a Chinese poet, musician, painter, and politician during the Tang dynasty. He was one of the most famous men of arts and letters of his time. Many of his poems are preserved, and twenty-nine were included in the highly influential 18th-century anthology Three Hundred Tang Poems.",1,https://en.wikipedia.org/wiki/Wang_Wei_(Tang_dynasty)
孟浩然,MENG Haoran,689,740,"Meng Haoran was a major Tang dynasty poet, and a somewhat older contemporary of Wang Wei, Li Bai and Du Fu. Despite his brief pursuit of an official career, Meng Haoran mainly lived in and wrote about the area in which he was born and raised, in what is now Hubei province, China.",1,https://en.wikipedia.org/wiki/Meng_Haoran
王昌齡,WANG Changling,698,765,"Wang Changling was a major Tang dynasty poet. His courtesy name was Shaobo. He was originally from Taiyuan in present-day Shanxi province, according to the editors of the Three Hundred Tang Poems, although other sources claim that he was actually from Jiangning near modern-day Nanjing.",1,https://en.wikipedia.org/wiki/Wang_Changling
邱為,QIU Wei,694,789,"Qiu Wei's poetic career coincided with the major flourishing of the Tang poetry styles; within which, he was grouped in with the Fields and Gardens Poets Group, along with such poets as Meng Haoran, Wang Wei, Chang Jian, and Pei Di. He had one poem collected in Three Hundred Tang Poems; which is a five-character old-style of Classical Chinese poetry form, translated by Witter Bynner as ""AFTER MISSING THE RECLUSE ON THE WESTERN MOUNTAIN"".
",0,https://en.wikipedia.org/wiki/Qiu_Wei
常建,CHANG Jian,708,765,"Chang Jian, and whose name, especially in older English transliteration, appears as ""Ch'ang Chien"", was a poet of the Tang Dynasty, and two of whose poems were collected in the popular anthology Three Hundred Tang Poems.",0,https://en.wikipedia.org/wiki/Chang_Jian
岑參,CEN Shen,715,770,"Cen Shen or Cen Can, 715–770, was one of the great Chinese poets of the Tang dynasty. His poems were included in the Three Hundred Poems anthology.",1,https://en.wikipedia.org/wiki/Cen_Shen
元結,YUAN Jie,719,772,"Yuan Jie was a Chinese poet and man of letters of the mid-Tang period. His courtesy name was Cishan, and he had several art names. He attained a jinshi degree in the imperial examination in 754, and served in several regional government posts before resigning in 769.",0,https://en.wikipedia.org/wiki/Yuan_Jie
韋應物,WEI Yingwu,737,792,"Wei Yingwu, courtesy name Yibo, art name Xizhai was a Chinese poet of the Tang dynasty. Twelve of Wei's poems were included in the influential Three Hundred Tang Poems anthology. He was also known by his honorific name Wei Suzhou; his service as the governor of Suzhou earned him the name.",1,https://en.wikipedia.org/wiki/Wei_Yingwu
柳宗元,LIU Zongyuan,773,819,"Liu Zongyuan was a Chinese writer, politician, and poet who lived during the Tang Dynasty. Liu was born in present-day Yongji, Shanxi. Along with Han Yu, he was a founder of the Classical Prose Movement. He has been traditionally classed as one of the ""Eight Great Prose Masters of the Tang and Song"".",1,https://en.wikipedia.org/wiki/Liu_Zongyuan
孟郊,MENG Jiao,751,814,Meng Jiao was a Chinese poet during the Tang Dynasty. Two of his poems have been collected in the popular anthology Three Hundred Tang Poems. Meng was the oldest of the Mid-Tang poets and is noted for the unusual forcefulness and harshness of his poems.,1,https://en.wikipedia.org/wiki/Meng_Jiao
陳子昂,CHEN Zi'ang,661,702,"Chen Zi'ang, courtesy name Boyu, was a Chinese poet of the Tang dynasty. He was important in helping to bring into being the type of poetry which is considered to be characteristically ""Tang"".",1,https://en.wikipedia.org/wiki/Chen_Zi%27ang
李頎,LI Qi,690,751,"Li Qi was born in what is now Zhao County (Zhaoxian), Hebei Province. He later took up residence in what is now Dengfeng, in Henan Province. The Li family of Zhao Commandery (Zhaojun) was of the scholarly (shi) class, one of the so-called ""four occupations"".",0,https://en.wikipedia.org/wiki/Li_Qi_(poet)
韓愈,HAN Yu,768,824,"Han Yu, courtesy name Tuizhi, was a Chinese prose writer, poet, and government official of the Tang dynasty who significantly influenced the development of Neo-Confucianism.",1,https://en.wikipedia.org/wiki/Han_Yu
白居易,BAI Juyi,772,846,"Bai Juyi, courtesy name Letian, was a renowned Chinese poet and Tang dynasty government official. Many of his poems concern his career or observations made about everyday life, including as governor of three different provinces.",1,https://en.wikipedia.org/wiki/Bai_Juyi
李商隱,LI Shangyin,813,858,"Li Shangyin, courtesy name Yishan, was a Chinese poet and politician of the late Tang Dynasty, born in Henei. He was ""rediscovered"" in the 20th century by young Chinese writers. He is noted for the imagist quality of his poems as well as his tantalizing ""no title"" poems.",1,https://en.wikipedia.org/wiki/Li_Shangyin
