templeEn,templeCh,start,end,emperorEn,emperorCh
Gao Zu,高祖,618,626,Li Yuan,李淵
Tai Zong,太宗,626,649,Li Shimin,李世民
Gao Zong,高宗,649,684,Li Zhi,李治
Zhong Zong,中宗,684,684,Li Xian,李顯
Rui Zong,睿宗,684,690,Li Dan,李旦
Wu Zhou,武周,690,705,Wu Zetian,武則天
Zhong Zong,中宗,705,710,Li Xian,李顯
Rui Zong,睿宗,710,712,Li Dan,李旦
Xuan Zong,玄宗,712,756,Li Longji,李隆基
Su Zong,肅宗,756,762,Li Heng,李亨
Dai Zong,代宗,762,779,Li Yu,李豫
De Zong,德宗,779,805,Li Shi,李適
Shun Zong,順宗,805,805,Li Song,李誦
Xian Zong,憲宗,805,820,Li Chun,李純
Mu Zong,穆宗,820,824,Li Heng,李恒
Jing Zong,敬宗,824,826,Li Zhan,李湛
Wen Zong,文宗,826,840,Li Ang,李昂
Wu Zong,武宗,840,846,Li Yan,李炎
Xuan Zong,宣宗,846,859,Li Chen,李忱
Yi Zong,懿宗,859,873,Li Cui,李漼
Xi Zong,僖宗,873,888,Li Xuan,李儇
Zhao Zong,昭宗,888,904,Li Ye,李曄
